state,year,production_renewables,production_natural_gas,production_coal,production_nuclear,#
Tennessee,2008,7350.06223,467.22997,57058.12937,27029.617,#
Tennessee,2009,11812.26208,409.32141,41633.24028,26962.001,#
Tennessee,2010,9846.81656,2302.38381,43670.19593,27739.221,#
Tennessee,2011,11255.78261,3259.35881,40777.22426,26919.177,#
Tennessee,2012,9295.05685,8075.15951,35419.3091,25102.101,#
Texas,2001,3381.27693,190110.981,135099.921,38162.863,#
Texas,2002,5098.74521,196433.41,141847.24,35618.004,#
Texas,2003,4862.276,184911.35,146989.51,33437.484,#
Texas,2004,5547.29657,188754.6631,148884.655,40435.372,#
Texas,2005,6668.17162,197665.2584,148358.023,38232.493,#
Texas,2006,8480.23087,197870.2333,146391.341,41264.278,#
Texas,2007,11932.04891,199531.281,147278.8893,40955.03,#
Texas,2008,18678.56167,193247.0777,147131.8405,40727.37,#
Texas,2009,22133.13372,189066.4829,139106.597,41497.617,#
Texas,2010,28966.66014,186882.2376,150172.832,41335.248,#
Texas,2011,32746.18717,200500.1489,157896.5352,39648.457,#
Texas,2012,34601.17095,213901.2818,138088.2233,38441.017,#
Utah,2001,666.64294,1446.077,33679.308,0,#
Utah,2002,681.65332,1380.181,34487.723,0,#
Utah,2003,624.88655,1383.107,35978.648,0,#
Utah,2004,648.5455,909.8504,36617.854,0,#
Utah,2005,973.21342,1177.50109,35970.405,0,#
Utah,2006,952.25904,3388.55018,36855.55,0,#
Utah,2007,733.73751,7424.21769,37170.79417,0,#
Utah,2008,969.94627,7366.30695,38020.36657,0,#
Utah,2009,1321.79315,6444.04241,35526.12637,0,#
Utah,2010,1476.47895,6455.39588,34057.26496,0,#
Utah,2011,2191.14984,5256.04635,33137.66326,0,#
Utah,2012,1847.50994,6579.60403,30799.12045,0,#
Vermont,2001,1266.754,11,0,4171.12,#
Vermont,2002,1480.893,3.275,0,3962.616,#
Vermont,2003,1559.174,2.029,0,4444.152,#
Vermont,2004,1591.33477,3.224,0,3858.02,#
Vermont,2005,1632.78862,2.24,0,4071.547,#
Vermont,2006,1968.57467,1.875,0,5106.523,#
Vermont,2007,1110.15329,1.88873,0,4703.728,#
Vermont,2008,1918.24183,2.65542,0,4895.053,#
Vermont,2009,1914.87061,4.4308,0,5360.608,#
Vermont,2010,1829.2256,3.78268,0,4782.473,#
Vermont,2011,1857.42861,3.27737,0,4907.355,#
Vermont,2012,1574.37359,2.53876,0,4989.338,#
Virginia,2001,5001.37299,4196.071,37769.911,25759.13,#
Virginia,2002,4928.32336,4386.927,38082.381,27346.163,#
Virginia,2003,5541.08707,4619.066,37093.331,24816.022,#
Virginia,2004,5181.51821,6437.8089,35656.00633,28315.294,#
Virginia,2005,5403.07137,8294.77044,35424.87524,27918.481,#
Virginia,2006,4977.08806,7215.44965,34288.14069,27593.516,#
Virginia,2007,5434.11792,10903.83992,35420.74627,27268.475,#
Virginia,2008,5347.14018,9315.08281,31776.35595,27930.764,#
Virginia,2009,5230.85778,12201.38374,25599.28782,28212.252,#
Virginia,2010,5210.43296,16999.1251,25459.2208,26571.899,#
Virginia,2011,4875.56858,18332.37316,19881.11344,25547.997,#
Virginia,2012,4767.7916,25037.7491,14180.79527,28723.39,#
Washington,2001,55955.22635,9374.245,9082.358,8250.429,#
Washington,2002,79895.36212,4719.311,8660.805,9048.475,#
Washington,2003,73888.38135,7082.605,11089.796,7614.708,#
Washington,2004,73896.94246,8468.80006,10409.33056,8981.583,#
Washington,2005,74179.83739,8578.54553,10494.4074,8242.273,#
Washington,2006,84463.38351,7495.40984,6372.82292,9328.277,#
Washington,2007,82515.23682,7287.39375,8556.81645,8108.56,#
Washington,2008,82526.4829,9809.35393,8761.64415,9269.639,#
Washington,2009,77924.99161,11971.14095,7477.77277,6634.014,#
Washington,2010,74852.01846,10359.23535,8526.9325,9241.133,#
Washington,2011,99780.12794,4849.50734,5228.58505,4806.278,#
Washington,2012,97635.15417,5437.5925,3762.95693,9333.709,#
West Virginia,2001,967.47023,275.865,80214.404,0,#
West Virginia,2002,1080.341,241.14,92951.316,0,#
West Virginia,2003,1530.001,277.837,92468.983,0,#
West Virginia,2004,1481.541,255.30991,87584.59762,0,#
West Virginia,2005,1602.171,287.092,91417.00336,0,#
West Virginia,2006,1746.48634,361.83652,91473.32071,0,#
West Virginia,2007,1421.985,388.79423,91866.26481,0,#
West Virginia,2008,1639.55733,180.41005,89113.48003,0,#
West Virginia,2009,2387.52873,109.43518,68079.89979,0,#
West Virginia,2010,2306.533,139.60127,78147.56305,0,#
West Virginia,2011,2565.04774,251.4645,75964.10735,0,#
West Virginia,2012,2728.00295,242.89421,70267.42856,0,#
Wisconsin,2001,3158.45424,2233.965,41253.456,11507.078,#
Wisconsin,2002,3530.60958,2076.314,39807.484,12448.813,#
Wisconsin,2003,3069.01903,2478.39,41717.216,12215.463,#
Wisconsin,2004,3094.31554,2405.362,42148.17629,11887.849,#
Wisconsin,2005,2921.87219,6386.79365,41729.31343,9920.991,#
Wisconsin,2006,2944.22141,5358.4816,40116.49023,12233.515,#
Wisconsin,2007,2845.60047,6488.75032,40028.24955,12910.319,#
Wisconsin,2008,3370.07737,5243.58889,41705.86048,12154.51,#
Wisconsin,2009,3734.28355,5484.14033,37279.99459,12683.151,#
Wisconsin,2010,4585.80782,5496.81367,40168.73278,13280.939,#
Wisconsin,2011,4911.92081,6243.33642,39937.73732,11559.781,#
Wisconsin,2012,4745.4129,11542.00678,32758.43505,14299.595,#
Wyoming,2001,1244.27,591.842,42789.31,0,#
Wyoming,2002,1030.945,713.08,41923.161,0,#
Wyoming,2003,960.033,280.196,42341.452,0,#
Wyoming,2004,1209.66204,86.89748,43345.74026,0,#
Wyoming,2005,1525.639,324.98139,43345.67563,0,#
Wyoming,2006,1602.377,501.27013,42891.82671,0,#
Wyoming,2007,1484.305,594.02585,43126.8092,0,#
Wyoming,2008,1797.817,494.67877,43807.9031,0,#
Wyoming,2009,3192.77658,488.01386,41954.26635,0,#
Wyoming,2010,4270.68004,458.98326,42986.52343,0,#
Wyoming,2011,5835.598,458.93014,40961.44869,0,#
Wyoming,2012,5262.577,512.91483,43411.76609,0,#
