state,Renewables,Natural_Gas,Coal,Nuclear,Other,Price
Alabama,2.1364730185934957,11.654409456923982,9.541723597286543,8.544658533442014,0.10749097439691231,9.18
Arizona,1.3039923829989815,4.739507183726201,6.275900815032251,4.995905987108608,0.010383409493435329,9.81
Arkansas,1.3088269526097787,5.870334124622159,9.750250147637896,5.313294475359046,0.02158910161396857,7.62
California,1.5093526456626514,3.212231437380771,0.0369110663039383,0.49679040797707497,0.06948716506778502,13.53
Colorado,1.5775401873380954,2.0926694823586116,6.864123038752117,0.0,0.013205528279271678,9.39
Connecticut,0.27306195383057597,4.626950222671629,0.18267163146383547,4.778238251508003,0.24292009981821983,15.54
Delaware,0.14594682905425121,7.589340898106097,1.5844176966235826,0.0,0.2953598260005746,11.06
District of Columbia,0.0,0.10368189349584443,0.0,0.0,0.01562014415270814,11.85
Florida,0.2486161331311488,7.962192067999517,2.355494956468459,0.9504622284298275,0.24284795899860173,10.44
Georgia,0.6557543101512823,4.391012036661511,4.202777421941104,3.503597207703455,0.044812444252493346,9.37
Idaho,8.583223652733958,1.2108886744042735,0.048952558781613975,0.0,0.044194160177904576,6.92
Illinois,0.6612197980582717,0.8720517383711106,6.299516474324882,7.513371827669907,0.0517849136348077,8.4
Indiana,0.6137913326162643,2.2318548746553333,14.260335476006208,0.0,0.5835711978866721,8.29
Iowa,4.907377879465788,0.6371173451551116,11.5979099973575,1.4269495840110558,0.034978543209836024,7.71
Kansas,1.8446669047687476,1.0023461735546864,9.807701994800075,2.9038140027857247,0.012046964058268885,9.33
Kentucky,0.6209803065746686,0.6795143346944381,19.072290603675604,0.0,0.3559728181552747,7.26
Louisiana,0.6860205229131869,12.918365336001546,4.725371935062907,3.454190831901728,1.0263801580810044,6.9
Maine,5.895535671402579,4.549738610212133,0.03407036189710478,0.0,0.3826092304727405,11.81
Maryland,0.44248176166075925,0.8564735660127423,2.8032609561670183,2.35197777728511,0.09458969452427206,11.28
Massachusetts,0.46787104767237125,3.768139693009485,0.3263657852330973,0.8949102033728545,0.16508611743273785,13.79
Michigan,0.5841545351712528,2.2004401040507346,5.376200667972528,2.834958982722964,0.10467406340174266,10.98
Minnesota,1.8882039338791556,1.336407426575602,4.284143237319532,2.2518776189331486,0.0799338131666643,8.86
Mississippi,0.5086076452744703,12.99158560804665,2.4304856743359364,2.4588485749825515,0.005764579683125753,8.6
Missouri,0.33051060732581977,1.0297611358428647,12.15159384811336,1.7896910414837248,0.016284543124335964,8.53
Montana,12.679428975707868,0.46896231611608885,14.137032226113408,0.0,0.8168223647306743,8.25
Nebraska,1.4257007754849722,0.4216629972168396,13.69909324709898,3.176612691715293,0.012365007410992798,8.37
Nevada,2.002941381221832,9.496824274009267,1.5105923309724572,0.0,0.014118574320573838,8.95
New Hampshire,2.0286607822434237,5.3550052109049195,0.9629669722819357,6.220560286219967,0.06620888436500642,14.19
New Jersey,0.1657942691301783,3.217157132467703,0.21582094825074097,3.765994448977661,0.09616937146876428,13.68
New Mexico,1.3581482280073758,4.2730822818220275,12.137870923314583,0.0,0.022411325096069842,8.83
New York,1.5614464146179021,3.068528398704889,0.2348547386116555,2.1041565371056463,0.07990554441296677,15.15
North Carolina,0.6745182598511266,2.024229712328154,5.341331913653456,4.130424436811434,0.0660822362118416,9.15
North Dakota,11.533431163961456,0.032258341250477635,41.94876847891215,0.0,0.19598247672062216,7.83
Ohio,0.18660616335763416,1.9646666771840067,7.418940450243853,1.481124437697937,0.19520027037653692,9.12
Oklahoma,2.6078466264553755,10.402732298310662,7.810987966735184,0.0,0.005598609674221367,7.54
Oregon,12.16823474044093,3.034315768894049,0.6876229850950413,0.0,0.01469144161663283,8.21
Pennsylvania,0.5624461850807633,4.177343388195235,6.860778239257387,5.918136122375187,0.13991335953682377,9.91
Rhode Island,0.10085913770809839,7.776227651066393,0.0,0.0,0.016981550818142694,12.74
South Carolina,0.9642003569881203,3.0985407397125937,6.1392238189253865,11.0575734147626,0.04640599745230862,9.1
South Dakota,10.925877570070503,0.2629648603502911,3.584902564543467,0.0,0.007023385492151613,8.49
Tennessee,1.4646868984991583,1.2724591714130165,5.581267423088651,3.955513027282089,0.02497836704561301,9.27
Texas,1.3760349570248205,8.506522554020568,5.491554683946005,1.5287396849089985,0.19012567506447758,8.55
Utah,0.6684467479652735,2.3805636015970273,11.143416042997448,0.0,0.06394127107314522,7.84
Vermont,2.516014756904214,0.004057205776830989,0.0,7.973487433299081,0.0054651365341251415,14.22
Virginia,0.5958976750975876,3.129318084785148,1.772372545064232,3.589964234577974,0.0950699522961061,9.07
Washington,14.51923167532649,0.8086192512796414,0.5595857753838924,1.388007060706011,0.08609644079743746,6.94
West Virginia,1.472213590545895,0.13108202724887397,37.92102325209904,0.0,0.0944843750168646,8.14
Wisconsin,0.834433722889418,2.0295472469951568,5.760245418223291,2.5144417447132805,0.06988941945698478,10.28
Wyoming,9.337001841646765,0.9100269150110181,77.022291537296,0.0,0.7120826576488665,7.19
